2025-07-17 12:11:59,721 - ClawBackend - INFO - [pattern_alert_worker.py:471] - ✅ Pattern detection completed for BTCUSDT:1m
2025-07-17 14:40:24,141 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:24,147 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:24,150 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:24,153 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:24,159 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:24,163 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:26,134 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:26,136 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:26,138 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:26,139 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:26,141 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:26,142 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:28,172 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:28,175 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:28,177 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:28,178 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:28,179 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:28,181 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:30,139 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:30,142 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:30,144 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:30,145 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:30,147 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:30,149 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:32,706 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:32,709 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:33,302 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:33,304 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:33,333 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:33,336 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:34,214 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:34,217 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:34,219 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:34,221 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:34,223 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:34,226 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:36,162 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:36,165 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:36,168 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:36,170 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:36,172 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:36,175 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:38,207 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:38,210 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:38,212 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:38,213 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:38,214 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:38,216 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:40,139 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:40,142 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:40,143 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:40,144 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:40,145 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:40,146 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:42,203 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:42,206 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:42,208 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:42,211 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:42,212 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:42,214 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:44,249 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:44,253 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:44,256 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:44,258 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:44,259 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:44,261 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:44,410 - ClawBackend - INFO - [pattern_alert_worker.py:596] - Health check: 3 listeners alive, 0 restarted. Alive: ['BTCUSDT:5m', 'BTCUSDT:15m', 'BTCUSDT:1m']
2025-07-17 14:40:46,140 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:46,142 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:46,144 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:46,146 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:46,147 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:46,150 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:48,141 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:48,143 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:48,145 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:48,146 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:48,757 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:48,759 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:50,136 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:50,138 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:50,139 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:50,140 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:50,141 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:50,143 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:51,933 - ClawBackend - INFO - [pattern_alert_worker.py:118] - [CLEANUP] Starting self-healing cleanup of ghost patterns in Redis...
2025-07-17 14:40:52,882 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:52,884 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:52,886 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:52,887 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:52,889 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:52,890 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:52,898 - ClawBackend - INFO - [pattern_alert_worker.py:151] - [CLEANUP] Keeping pattern 'Three White Soldiers' in pattern_listeners:BTCUSDT:5m (still in Supabase)
2025-07-17 14:40:52,902 - ClawBackend - INFO - [pattern_alert_worker.py:151] - [CLEANUP] Keeping pattern 'Double Top' in pattern_listeners:BTCUSDT:15m (still in Supabase)
2025-07-17 14:40:52,904 - ClawBackend - INFO - [pattern_alert_worker.py:151] - [CLEANUP] Keeping pattern 'Three Inside Down' in pattern_listeners:BTCUSDT:15m (still in Supabase)
2025-07-17 14:40:52,908 - ClawBackend - INFO - [pattern_alert_worker.py:151] - [CLEANUP] Keeping pattern 'Gravestone Doji' in pattern_listeners:BTCUSDT:1m (still in Supabase)
2025-07-17 14:40:52,910 - ClawBackend - INFO - [pattern_alert_worker.py:151] - [CLEANUP] Keeping pattern 'Standard Doji' in pattern_listeners:BTCUSDT:1m (still in Supabase)
2025-07-17 14:40:52,911 - ClawBackend - INFO - [pattern_alert_worker.py:151] - [CLEANUP] Keeping pattern 'Bat Bearish' in pattern_listeners:BTCUSDT:1m (still in Supabase)
2025-07-17 14:40:52,913 - ClawBackend - INFO - [pattern_alert_worker.py:151] - [CLEANUP] Keeping pattern 'Abcd Bullish' in pattern_listeners:BTCUSDT:1m (still in Supabase)
2025-07-17 14:40:54,182 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:54,185 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:54,188 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:54,189 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:54,191 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:54,193 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:56,181 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:56,184 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:56,186 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:56,188 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:40:56,190 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:56,192 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:58,146 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:40:58,148 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:40:58,150 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:40:58,151 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:40:58,152 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:40:58,154 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:41:00,184 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:41:00,187 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:41:00,189 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:41:00,190 - ClawBackend - INFO - [pattern_alert_worker.py:548] - 🕯️ Queuing closed candle for BTCUSDT:1m - Close: 118136.02, Time: 1752752400000
2025-07-17 14:41:00,194 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:41:00,196 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:41:00,198 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:41:00,199 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:41:00,205 - ClawBackend - INFO - [pattern_alert_worker.py:570] - 📊 Updated rolling window for BTCUSDT:1m with new closed candle (from queue)
2025-07-17 14:41:00,207 - ClawBackend - INFO - [pattern_alert_worker.py:572] - 🔍 Triggering pattern detection for BTCUSDT:1m after new candle (from queue)
2025-07-17 14:41:00,210 - ClawBackend - INFO - [pattern_alert_worker.py:407] - 🔍 Starting pattern detection for BTCUSDT:1m
2025-07-17 14:41:00,215 - ClawBackend - INFO - [pattern_alert_worker.py:416] - 📊 Found 100 candles in rolling window for BTCUSDT:1m
2025-07-17 14:41:00,217 - ClawBackend - INFO - [pattern_alert_worker.py:420] - [DEBUG] Last candle in rolling window for BTCUSDT:1m: {'open': 118307.03, 'high': 118318.0, 'low': 118258.11, 'close': 118258.11, 'volume': 9.04369, 'timestamp': 1752741300000}
2025-07-17 14:41:00,219 - ClawBackend - INFO - [pattern_alert_worker.py:430] - 📈 OHLCV data prepared for BTCUSDT:1m - Last close: 118258.11
2025-07-17 14:41:00,222 - ClawBackend - INFO - [pattern_alert_worker.py:440] - 🎯 Found 4 active patterns for BTCUSDT:1m: ['Gravestone Doji', 'Standard Doji', 'Bat Bearish', 'Abcd Bullish']
2025-07-17 14:41:00,224 - ClawBackend - INFO - [pattern_alert_worker.py:449] - 🔍 Adding detection task for pattern 'Gravestone Doji' with 1 users
2025-07-17 14:41:00,226 - ClawBackend - INFO - [pattern_alert_worker.py:449] - 🔍 Adding detection task for pattern 'Standard Doji' with 1 users
2025-07-17 14:41:00,228 - ClawBackend - INFO - [pattern_alert_worker.py:449] - 🔍 Adding detection task for pattern 'Bat Bearish' with 1 users
2025-07-17 14:41:00,230 - ClawBackend - INFO - [pattern_alert_worker.py:449] - 🔍 Adding detection task for pattern 'Abcd Bullish' with 1 users
2025-07-17 14:41:00,231 - ClawBackend - INFO - [pattern_alert_worker.py:457] - 🚀 Running 4 pattern detection tasks for BTCUSDT:1m
2025-07-17 14:41:00,233 - ClawBackend - INFO - [pattern_alert_worker.py:489] - 🎯 Running detector for doji (requested type: gravestone_doji) on BTCUSDT:1m
2025-07-17 14:41:00,234 - ClawBackend - INFO - [pattern_alert_worker.py:495] - ❌ No doji pattern detected for BTCUSDT:1m
2025-07-17 14:41:00,236 - ClawBackend - INFO - [pattern_alert_worker.py:489] - 🎯 Running detector for doji (requested type: standard_doji) on BTCUSDT:1m
2025-07-17 14:41:00,238 - ClawBackend - INFO - [pattern_alert_worker.py:495] - ❌ No doji pattern detected for BTCUSDT:1m
2025-07-17 14:41:00,239 - ClawBackend - INFO - [pattern_alert_worker.py:489] - 🎯 Running detector for bat (requested type: bat_bearish) on BTCUSDT:1m
2025-07-17 14:41:00,241 - ClawBackend - INFO - [pattern_alert_worker.py:495] - ❌ No bat pattern detected for BTCUSDT:1m
2025-07-17 14:41:00,243 - ClawBackend - INFO - [pattern_alert_worker.py:489] - 🎯 Running detector for abcd (requested type: abcd_bullish) on BTCUSDT:1m
2025-07-17 14:41:00,245 - ClawBackend - INFO - [pattern_alert_worker.py:495] - ❌ No abcd pattern detected for BTCUSDT:1m
2025-07-17 14:41:00,247 - ClawBackend - WARNING - [pattern_alert_worker.py:467] - ❌ Pattern not found or unexpected result for task 0 on BTCUSDT:1m: {'detected': False}
2025-07-17 14:41:00,248 - ClawBackend - WARNING - [pattern_alert_worker.py:467] - ❌ Pattern not found or unexpected result for task 1 on BTCUSDT:1m: {'detected': False}
2025-07-17 14:41:00,249 - ClawBackend - WARNING - [pattern_alert_worker.py:467] - ❌ Pattern not found or unexpected result for task 2 on BTCUSDT:1m: {'detected': False}
2025-07-17 14:41:00,251 - ClawBackend - WARNING - [pattern_alert_worker.py:467] - ❌ Pattern not found or unexpected result for task 3 on BTCUSDT:1m: {'detected': False}
2025-07-17 14:41:00,253 - ClawBackend - INFO - [pattern_alert_worker.py:471] - ✅ Pattern detection completed for BTCUSDT:1m
2025-07-17 14:41:02,141 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:41:02,143 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:41:02,146 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:41:02,147 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:41:02,149 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:41:02,150 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:41:04,140 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:41:04,142 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:41:04,144 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:41:04,146 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:41:04,149 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:41:04,151 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:41:06,145 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:41:06,148 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:41:06,151 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:41:06,152 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:41:06,154 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:41:06,159 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:41:08,211 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:41:08,213 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:41:08,214 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:41:08,216 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:41:08,218 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:41:08,219 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:41:10,161 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:41:10,163 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:41:10,164 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:41:10,165 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:41:10,166 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:41:10,168 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:41:12,308 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:41:12,311 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:41:12,313 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:41:12,316 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 14:41:12,322 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 14:41:12,324 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 14:41:14,252 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 14:41:14,255 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 14:41:14,256 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 14:41:14,257 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
